Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
SL-UT-C CR-OX PR-16;5;2 30 11 18 16 15 8 17 4 19 14 1 9 13 29 25 26 28 22 23 5 20 6 10 12 21 7 3 24 27 ;2.12498e+06;18 19 24 25 3 22 8 9 5 20 10 12 23 29 11 30 21 26 15 1 6 16 14 7 17 27 2 13 4 28 ;2.06356e+06;130
SL-UT-C CR-OX PR-25;1;10 28 9 6 22 3 23 15 19 30 27 13 20 5 14 2 21 25 11 8 16 18 1 29 4 26 17 12 7 24 ;2.1398e+06;3 28 13 17 22 30 15 19 20 24 23 7 9 5 14 2 21 25 11 8 16 18 1 29 4 26 10 12 6 27 ;2.0735e+06;30
SL-UT-C CR-OX PR-25;2;30 8 9 26 3 14 1 22 12 13 18 15 2 19 28 23 6 11 21 27 29 5 25 4 7 10 24 16 20 17 ;2.12193e+06;4 1 12 25 7 26 19 23 30 17 20 6 22 24 16 13 3 27 11 9 14 15 5 18 10 2 8 21 28 29 ;1.99604e+06;58
SL-UT-C CR-OX PR-25;3;27 29 28 16 5 19 24 11 18 2 10 3 15 13 22 17 8 20 25 7 1 14 12 6 9 30 26 4 23 21 ;2.14045e+06;12 9 1 17 15 5 4 18 24 14 28 29 3 23 26 2 10 8 20 30 25 27 7 22 21 6 11 16 13 19 ;2.04849e+06;46
SL-UT-C CR-OX PR-25;4;15 29 6 9 16 5 10 27 21 13 2 4 26 7 1 14 25 12 20 18 22 17 8 19 24 3 28 23 30 11 ;2.14124e+06;18 17 14 30 21 2 4 3 16 28 24 22 9 27 6 1 12 29 26 11 8 10 23 5 7 13 25 20 19 15 ;2.05235e+06;24
SL-UT-C CR-OX PR-25;5;21 5 26 9 6 22 27 19 8 11 20 15 29 25 18 12 3 16 7 23 13 1 17 10 28 4 30 14 24 2 ;2.12879e+06;7 29 18 28 5 19 14 26 1 3 22 2 27 24 16 30 25 20 8 13 23 15 17 10 12 6 9 11 4 21 ;2.02833e+06;42
SL-UT-C CR-OX PR-50;1;19 27 13 26 10 17 23 6 11 15 16 12 21 20 1 2 3 4 18 29 9 7 5 28 8 22 14 24 30 25 ;2.14363e+06;26 20 8 2 5 6 1 10 14 30 7 27 28 11 3 22 9 15 12 21 24 19 29 17 23 4 13 18 25 16 ;2.0483e+06;19
SL-UT-C CR-OX PR-50;2;8 1 6 4 9 14 28 16 23 17 20 30 29 21 19 13 12 2 24 15 26 5 10 11 27 7 3 25 22 18 ;2.13718e+06;19 13 10 24 22 27 29 6 20 21 2 15 8 3 28 14 9 1 11 26 7 5 18 12 4 16 23 17 30 25 ;2.06015e+06;29
SL-UT-C CR-OX PR-50;3;25 3 11 4 7 9 23 5 10 26 16 2 28 19 27 21 30 15 8 12 17 22 20 18 13 29 1 6 24 14 ;2.09896e+06;16 4 19 12 9 7 22 2 6 13 14 15 11 28 1 23 30 21 17 8 18 5 10 20 26 29 25 24 3 27 ;2.06803e+06;51
SL-UT-C CR-OX PR-50;4;12 7 15 10 24 9 11 26 2 28 3 1 20 27 13 8 16 23 5 19 30 21 25 18 29 6 14 22 17 4 ;2.13746e+06;6 2 25 7 16 14 29 3 28 26 23 18 21 17 1 11 15 9 8 20 12 30 24 4 10 27 22 19 13 5 ;1.99215e+06;28
